group	fraction_aag_like_cds	fraction_aag_like_3utr
low_clip_control	0.7142857142857143	0.238095238095238
low_clip_control	0.4666666666666667	0.4
low_clip_control	0.2272727272727272	0.7272727272727273
functional_target	0.5	0.5
low_clip_control	0.5357142857142857	0.4285714285714285
other	0.2156862745098039	0.7843137254901961
low_clip_control	0.68	0.24
low_clip_control	0.8709677419354839	0.0967741935483871
other	0.7142857142857143	0.238095238095238
low_clip_control	0.9594594594594594	0.0135135135135135
low_clip_control	0.4210526315789473	0.5263157894736842
low_clip_control	0.875	0.0
other	0.2631578947368421	0.5789473684210527
low_clip_control	0.3125	0.6875
functional_target	0.5531914893617021	0.3404255319148936
low_clip_control	0.5	0.4230769230769231
low_clip_control	0.6470588235294118	0.1764705882352941
low_clip_control	0.75	0.2115384615384615
low_clip_control	0.8461538461538461	0.0512820512820512
low_clip_control	0.9166666666666666	0.0833333333333333
low_clip_control	0.4375	0.4375
low_clip_control	0.9649122807017544	0.0
low_clip_control	0.625	0.25
other	0.5555555555555556	0.3888888888888889
high_clip_target	0.896551724137931	0.0689655172413793
low_clip_control	0.5454545454545454	0.3636363636363636
other	0.9777777777777776	0.0
low_clip_control	0.631578947368421	0.3684210526315789
low_clip_control	0.6428571428571429	0.2857142857142857
low_clip_control	0.8823529411764706	0.1176470588235294
low_clip_control	0.7931034482758621	0.1724137931034483
low_clip_control	0.6521739130434783	0.1304347826086956
low_clip_control	0.75	0.25
other	0.3333333333333333	0.6444444444444445
other	0.22	0.78
low_clip_control	0.2222222222222222	0.6666666666666666
high_clip_target	0.2142857142857142	0.6428571428571429
